timestampMicros,sceneFrom,sceneTo,transitionType,triggerReason,timeInStateSec,expectedDurationSec,deviationSec,blendDurationSec,completed
7635175,Idle,Start,manual,button_press,1.200,null,null,1.200,1
37650321,Start,FirstPhase,auto,timeout,30.015,30.000,0.015,1.200,0
38850578,Start,FirstPhase,auto,timeout,1.200,30.000,null,1.200,1
98864920,FirstPhase,Exchange,auto,timeout,60.014,60.000,0.014,1.200,0
100065080,FirstPhase,Exchange,auto,timeout,1.200,60.000,null,1.200,1
160065698,Exchange,Mixed,auto,timeout,60.001,60.000,0.001,1.200,0
161266092,Exchange,Mixed,auto,timeout,1.200,60.000,null,1.200,1
251275086,Mixed,End,auto,timeout,90.009,90.000,0.009,1.200,0
252491812,Mixed,End,auto,timeout,1.217,90.000,null,1.200,1
272507405,End,Idle,auto,timeout,20.016,20.000,0.016,1.200,0
273707648,End,Idle,auto,timeout,1.200,20.000,null,1.200,1
17817817,Idle,Start,manual,button_press,17.309,null,null,1.200,0
19017971,Idle,Start,manual,button_press,1.200,null,null,1.200,1
49033086,Start,FirstPhase,auto,timeout,30.015,30.000,0.015,1.200,0
50233263,Start,FirstPhase,auto,timeout,1.200,30.000,null,1.200,1
8553207,Idle,Start,manual,button_press,8.048,null,null,1.200,0
9769041,Idle,Start,manual,button_press,1.216,null,null,1.200,1
39783560,Start,FirstPhase,auto,timeout,30.015,30.000,0.015,1.200,0
40983742,Start,FirstPhase,auto,timeout,1.200,30.000,null,1.200,1
100999513,FirstPhase,Exchange,auto,timeout,60.016,60.000,0.016,1.200,0
102216438,FirstPhase,Exchange,auto,timeout,1.217,60.000,null,1.200,1
162218123,Exchange,Mixed,auto,timeout,60.002,60.000,0.002,1.200,0
163434711,Exchange,Mixed,auto,timeout,1.217,60.000,null,1.200,1
16917978,Idle,Start,manual,button_press,16.441,null,null,1.200,0
18118043,Idle,Start,manual,button_press,1.200,null,null,1.200,1
48133187,Start,FirstPhase,auto,timeout,30.015,30.000,0.015,1.200,0
49333343,Start,FirstPhase,auto,timeout,1.200,30.000,null,1.200,1
109504837,FirstPhase,Exchange,auto,timeout,60.171,60.000,0.171,1.200,0
110717391,FirstPhase,Exchange,auto,timeout,1.213,60.000,null,1.200,1
170728302,Exchange,Mixed,auto,timeout,60.011,60.000,0.011,1.200,0
171928658,Exchange,Mixed,auto,timeout,1.200,60.000,null,1.200,1
261941262,Mixed,End,auto,timeout,90.013,90.000,0.013,1.200,0
263141349,Mixed,End,auto,timeout,1.200,90.000,null,1.200,1
15967963,Idle,Start,manual,button_press,15.498,null,null,1.200,0
17168104,Idle,Start,manual,button_press,1.200,null,null,1.200,1
47183330,Start,FirstPhase,auto,timeout,30.015,30.000,0.015,1.200,0
48383503,Start,FirstPhase,auto,timeout,1.200,30.000,null,1.200,1
108400072,FirstPhase,Exchange,auto,timeout,60.017,60.000,0.017,1.200,0
109600242,FirstPhase,Exchange,auto,timeout,1.200,60.000,null,1.200,1
169612482,Exchange,Mixed,auto,timeout,60.012,60.000,0.012,1.200,0
170828988,Exchange,Mixed,auto,timeout,1.217,60.000,null,1.200,1
19218044,Idle,Start,manual,button_press,18.684,null,null,1.200,0
20418152,Idle,Start,manual,button_press,1.200,null,null,1.200,1
50433374,Start,FirstPhase,auto,timeout,30.015,30.000,0.015,1.200,0
51633582,Start,FirstPhase,auto,timeout,1.200,30.000,null,1.200,1
111648311,FirstPhase,Exchange,auto,timeout,60.015,60.000,0.015,1.200,0
112848529,FirstPhase,Exchange,auto,timeout,1.200,60.000,null,1.200,1
172859445,Exchange,Mixed,auto,timeout,60.011,60.000,0.011,1.200,0
174059511,Exchange,Mixed,auto,timeout,1.200,60.000,null,1.200,1
264060283,Mixed,End,auto,timeout,90.001,90.000,0.001,1.200,0
40316844,Idle,Start,manual,button_press,40.054,null,null,1.200,0
41516929,Idle,Start,manual,button_press,1.200,null,null,1.200,1
71532262,Start,FirstPhase,auto,timeout,30.015,30.000,0.015,1.200,0
72732338,Start,FirstPhase,auto,timeout,1.200,30.000,null,1.200,1
132746434,FirstPhase,Exchange,auto,timeout,60.014,60.000,0.014,1.200,0
133946522,FirstPhase,Exchange,auto,timeout,1.200,60.000,null,1.200,1
193960579,Exchange,Mixed,auto,timeout,60.014,60.000,0.014,1.200,0
195160790,Exchange,Mixed,auto,timeout,1.200,60.000,null,1.200,1
